Serial_number:
2091461
Project ID:
S2
Location:
43
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/8/2023,12:38:24 pm,0,9.818,19.80
6/8/2023,01:08:24 pm,0,9.815,19.60
6/8/2023,01:38:24 pm,0,9.809,20.60
6/8/2023,02:08:24 pm,0,9.809,25.50
6/8/2023,02:38:24 pm,0,10.232,5.60
6/8/2023,03:08:24 pm,0,10.229,5.30
6/8/2023,03:38:24 pm,0,10.227,5.30
6/8/2023,04:08:24 pm,0,10.226,5.20
6/8/2023,04:38:24 pm,0,10.221,5.20
6/8/2023,05:08:24 pm,0,10.221,5.20
6/8/2023,05:38:24 pm,0,10.220,5.20
6/8/2023,06:08:24 pm,0,10.221,5.20
6/8/2023,06:38:24 pm,0,10.223,5.20
6/8/2023,07:08:24 pm,0,10.221,5.20
6/8/2023,07:38:24 pm,0,10.221,5.20
6/8/2023,08:08:24 pm,0,10.221,5.20
6/8/2023,08:38:24 pm,0,10.227,5.20
6/8/2023,09:08:24 pm,0,10.229,5.20
6/8/2023,09:38:24 pm,0,10.229,5.20
6/8/2023,10:08:24 pm,0,10.230,5.20
6/8/2023,10:38:24 pm,0,10.229,5.20
6/8/2023,11:08:24 pm,0,10.229,5.20
6/8/2023,11:38:24 pm,0,10.232,5.20
6/9/2023,12:08:24 am,0,10.232,5.20
6/9/2023,12:38:24 am,0,10.229,5.20
6/9/2023,01:08:24 am,0,10.226,5.20
6/9/2023,01:38:24 am,0,10.227,5.20
6/9/2023,02:08:24 am,0,10.230,5.20
6/9/2023,02:38:24 am,0,10.229,5.20
6/9/2023,03:08:24 am,0,10.229,5.20
6/9/2023,03:38:24 am,0,10.229,5.20
6/9/2023,04:08:24 am,0,10.229,5.20
6/9/2023,04:38:24 am,0,10.227,5.30
6/9/2023,05:08:24 am,0,10.229,5.30
6/9/2023,05:38:24 am,0,10.229,5.30
6/9/2023,06:08:24 am,0,10.226,5.30
6/9/2023,06:38:24 am,0,10.224,5.30
6/9/2023,07:08:24 am,0,10.223,5.30
6/9/2023,07:38:24 am,0,10.221,5.30
6/9/2023,08:08:24 am,0,10.220,5.30
6/9/2023,08:38:24 am,0,10.217,5.30
6/9/2023,09:08:24 am,0,10.217,5.30
6/9/2023,09:38:24 am,0,10.212,5.30
6/9/2023,10:08:24 am,0,10.208,5.30
6/9/2023,10:38:24 am,0,10.205,5.30
6/9/2023,11:08:24 am,0,10.203,5.30
6/9/2023,11:38:24 am,0,10.202,5.30
6/9/2023,12:08:24 pm,0,10.199,5.30
6/9/2023,12:38:24 pm,0,10.196,5.30
6/9/2023,01:08:24 pm,0,10.193,5.30
6/9/2023,01:38:24 pm,0,10.188,5.30
6/9/2023,02:08:24 pm,0,10.185,5.30
6/9/2023,02:38:24 pm,0,10.182,5.30
6/9/2023,03:08:24 pm,0,10.178,5.30
6/9/2023,03:38:24 pm,0,10.178,5.30
6/9/2023,04:08:24 pm,0,10.176,5.30
6/9/2023,04:38:24 pm,0,10.169,5.30
6/9/2023,05:08:24 pm,0,10.167,5.30
6/9/2023,05:38:24 pm,0,10.175,5.30
6/9/2023,06:08:24 pm,0,10.181,5.30
6/9/2023,06:38:24 pm,0,10.182,5.30
6/9/2023,07:08:24 pm,0,10.185,5.40
6/9/2023,07:38:24 pm,0,10.182,5.40
6/9/2023,08:08:24 pm,0,10.184,5.40
6/9/2023,08:38:24 pm,0,10.184,5.40
6/9/2023,09:08:24 pm,0,10.188,5.40
6/9/2023,09:38:24 pm,0,10.190,5.40
6/9/2023,10:08:24 pm,0,10.188,5.40
6/9/2023,10:38:24 pm,0,10.187,5.40
6/9/2023,11:08:24 pm,0,10.190,5.40
