Serial_number:
2110775
Project ID:

Location:
S6N2
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/10/2022,11:01:18 am,0,9.803,22.10
6/10/2022,11:31:18 am,0,9.801,22.50
6/10/2022,12:01:18 pm,0,10.409,7.50
6/10/2022,12:31:18 pm,0,10.407,6.40
6/10/2022,01:01:18 pm,0,10.404,6.30
6/10/2022,01:31:18 pm,0,10.398,6.20
6/10/2022,02:01:18 pm,0,10.397,6.20
6/10/2022,02:31:18 pm,0,10.398,6.20
6/10/2022,03:01:18 pm,0,10.397,6.20
6/10/2022,03:31:18 pm,0,10.394,6.20
6/10/2022,04:01:18 pm,0,10.389,6.20
6/10/2022,04:31:18 pm,0,10.389,6.20
6/10/2022,05:01:18 pm,0,10.386,6.20
6/10/2022,05:31:18 pm,0,10.386,6.20
6/10/2022,06:01:18 pm,0,10.385,6.20
6/10/2022,06:31:18 pm,0,10.383,6.20
6/10/2022,07:01:18 pm,0,10.383,6.20
6/10/2022,07:31:18 pm,0,10.382,6.20
6/10/2022,08:01:18 pm,0,10.382,6.20
6/10/2022,08:31:18 pm,0,10.383,6.20
6/10/2022,09:01:18 pm,0,10.385,6.20
6/10/2022,09:31:18 pm,0,10.385,6.20
6/10/2022,10:01:18 pm,0,10.382,6.20
6/10/2022,10:31:18 pm,0,10.379,6.20
6/10/2022,11:01:18 pm,0,10.377,6.20
6/10/2022,11:31:18 pm,0,10.376,6.20
6/11/2022,12:01:18 am,0,10.374,6.20
6/11/2022,12:31:18 am,0,10.374,6.20
6/11/2022,01:01:18 am,0,10.374,6.20
6/11/2022,01:31:18 am,0,10.373,6.20
6/11/2022,02:01:18 am,0,10.370,6.20
6/11/2022,02:31:18 am,0,10.365,6.20
6/11/2022,03:01:18 am,0,10.362,6.20
6/11/2022,03:31:18 am,0,10.362,6.20
6/11/2022,04:01:18 am,0,10.362,6.20
6/11/2022,04:31:18 am,0,10.359,6.20
6/11/2022,05:01:18 am,0,10.362,6.20
6/11/2022,05:31:18 am,0,10.365,6.20
6/11/2022,06:01:18 am,0,10.367,6.20
6/11/2022,06:31:18 am,0,10.368,6.20
6/11/2022,07:01:18 am,0,10.370,6.20
6/11/2022,07:31:18 am,0,10.371,6.20
6/11/2022,08:01:18 am,0,10.370,6.20
6/11/2022,08:31:18 am,0,10.373,6.20
6/11/2022,09:01:18 am,0,10.371,6.20
6/11/2022,09:31:18 am,0,10.370,6.20
6/11/2022,10:01:18 am,0,10.367,6.20
6/11/2022,10:31:18 am,0,10.368,6.20
6/11/2022,11:01:18 am,0,10.367,6.20
6/11/2022,11:31:18 am,0,10.365,6.20
6/11/2022,12:01:18 pm,0,10.364,6.20
6/11/2022,12:31:18 pm,0,10.361,6.20
6/11/2022,01:01:18 pm,0,10.359,6.20
6/11/2022,01:31:18 pm,0,10.356,6.20
6/11/2022,02:01:18 pm,0,10.356,6.20
6/11/2022,02:31:18 pm,0,10.356,6.20
6/11/2022,03:01:18 pm,0,10.358,6.20
6/11/2022,03:31:18 pm,0,10.356,6.20
6/11/2022,04:01:18 pm,0,10.359,6.20
6/11/2022,04:31:18 pm,0,10.361,6.20
6/11/2022,05:01:18 pm,0,10.362,6.20
6/11/2022,05:31:18 pm,0,10.359,6.20
6/11/2022,06:01:18 pm,0,10.361,6.20
6/11/2022,06:31:18 pm,0,10.358,6.20
6/11/2022,07:01:18 pm,0,10.362,6.20
6/11/2022,07:31:18 pm,0,10.364,6.20
6/11/2022,08:01:18 pm,0,10.367,6.20
6/11/2022,08:31:18 pm,0,10.370,6.20
6/11/2022,09:01:18 pm,0,10.368,6.20
6/11/2022,09:31:18 pm,0,10.371,6.20
6/11/2022,10:01:18 pm,0,10.371,6.20
6/11/2022,10:31:18 pm,0,10.373,6.20
6/11/2022,11:01:18 pm,0,10.379,6.20
6/11/2022,11:31:18 pm,0,10.382,6.20
6/12/2022,12:01:18 am,0,10.379,6.20
6/12/2022,12:31:18 am,0,10.379,6.20
6/12/2022,01:01:18 am,0,10.383,6.20
6/12/2022,01:31:18 am,0,10.389,6.20
6/12/2022,02:01:18 am,0,10.388,6.20
6/12/2022,02:31:18 am,0,10.388,6.20
6/12/2022,03:01:18 am,0,10.389,6.20
6/12/2022,03:31:18 am,0,10.389,6.20
6/12/2022,04:01:18 am,0,10.389,6.20
6/12/2022,04:31:18 am,0,10.388,6.20
6/12/2022,05:01:18 am,0,10.389,6.30
6/12/2022,05:31:18 am,0,10.391,6.30
6/12/2022,06:01:18 am,0,10.394,6.30
6/12/2022,06:31:18 am,0,10.392,6.30
6/12/2022,07:01:18 am,0,10.394,6.30
6/12/2022,07:31:18 am,0,10.397,6.30
6/12/2022,08:01:18 am,0,10.394,6.30
6/12/2022,08:31:18 am,0,10.389,6.30
6/12/2022,09:01:18 am,0,10.386,6.30
6/12/2022,09:31:18 am,0,10.383,6.30
6/12/2022,10:01:18 am,0,10.383,6.30
6/12/2022,10:31:18 am,0,10.383,6.30
6/12/2022,11:01:18 am,0,10.379,6.30
6/12/2022,11:31:18 am,0,10.382,6.30
6/12/2022,12:01:18 pm,0,10.380,6.30
6/12/2022,12:31:18 pm,0,10.377,6.30
6/12/2022,01:01:18 pm,0,10.373,6.30
6/12/2022,01:31:18 pm,0,10.371,6.30
6/12/2022,02:01:18 pm,0,10.370,6.30
6/12/2022,02:31:18 pm,0,10.364,6.30
6/12/2022,03:01:18 pm,0,10.362,6.30
6/12/2022,03:31:18 pm,0,10.362,6.30
6/12/2022,04:01:18 pm,0,10.361,6.30
6/12/2022,04:31:18 pm,0,10.358,6.30
6/12/2022,05:01:18 pm,0,10.358,6.30
6/12/2022,05:31:18 pm,0,10.359,6.30
6/12/2022,06:01:18 pm,0,10.358,6.30
6/12/2022,06:31:18 pm,0,10.358,6.30
6/12/2022,07:01:18 pm,0,10.359,6.30
6/12/2022,07:31:18 pm,0,10.358,6.30
6/12/2022,08:01:18 pm,0,10.361,6.30
6/12/2022,08:31:18 pm,0,10.362,6.30
6/12/2022,09:01:18 pm,0,10.371,6.30
6/12/2022,09:31:18 pm,0,10.370,6.30
6/12/2022,10:01:18 pm,0,10.370,6.30
6/12/2022,10:31:18 pm,0,10.370,6.30
6/12/2022,11:01:18 pm,0,10.370,6.30
6/12/2022,11:31:18 pm,0,10.373,6.30
6/13/2022,12:01:18 am,0,10.373,6.30
6/13/2022,12:31:18 am,0,10.368,6.30
6/13/2022,01:01:18 am,0,10.368,6.30
6/13/2022,01:31:18 am,0,10.367,6.30
6/13/2022,02:01:18 am,0,10.365,6.30
6/13/2022,02:31:18 am,0,10.364,6.30
6/13/2022,03:01:18 am,0,10.359,6.30
6/13/2022,03:31:18 am,0,10.359,6.30
6/13/2022,04:01:18 am,0,10.364,6.30
6/13/2022,04:31:18 am,0,10.362,6.30
6/13/2022,05:01:18 am,0,10.361,6.30
6/13/2022,05:31:18 am,0,10.364,6.30
6/13/2022,06:01:18 am,0,10.359,6.30
6/13/2022,06:31:18 am,0,10.358,6.40
6/13/2022,07:01:18 am,0,10.361,6.40
6/13/2022,07:31:18 am,0,10.353,6.40
6/13/2022,08:01:18 am,0,10.367,6.40
6/13/2022,08:31:18 am,0,10.352,6.40
6/13/2022,09:01:18 am,0,10.361,6.40
6/13/2022,09:31:18 am,0,10.359,6.40
6/13/2022,10:01:18 am,0,10.358,6.40
6/13/2022,10:31:18 am,0,10.365,6.40
6/13/2022,11:01:18 am,0,10.368,6.40
6/13/2022,11:31:18 am,0,10.373,6.40
6/13/2022,12:01:18 pm,0,10.376,6.40
6/13/2022,12:31:18 pm,0,10.371,6.40
6/13/2022,01:01:18 pm,0,10.367,6.40
6/13/2022,01:31:18 pm,0,10.364,6.40
6/13/2022,02:01:18 pm,0,10.362,6.40
6/13/2022,02:31:18 pm,0,10.361,6.40
6/13/2022,03:01:18 pm,0,10.362,6.40
6/13/2022,03:31:18 pm,0,10.361,6.40
6/13/2022,04:01:18 pm,0,10.359,6.40
6/13/2022,04:31:18 pm,0,10.359,6.40
6/13/2022,05:01:18 pm,0,10.361,6.40
6/13/2022,05:31:18 pm,0,10.361,6.40
6/13/2022,06:01:18 pm,0,10.361,6.40
6/13/2022,06:31:18 pm,0,10.359,6.40
6/13/2022,07:01:18 pm,0,10.361,6.40
6/13/2022,07:31:18 pm,0,10.362,6.40
6/13/2022,08:01:18 pm,0,10.361,6.40
6/13/2022,08:31:18 pm,0,10.358,6.40
6/13/2022,09:01:18 pm,0,10.359,6.40
6/13/2022,09:31:18 pm,0,10.362,6.40
6/13/2022,10:01:18 pm,0,10.361,6.40
6/13/2022,10:31:18 pm,0,10.356,6.40
6/13/2022,11:01:18 pm,0,10.358,6.40
6/13/2022,11:31:18 pm,0,10.355,6.40
6/14/2022,12:01:18 am,0,10.347,6.40
6/14/2022,12:31:18 am,0,10.350,6.40
6/14/2022,01:01:18 am,0,10.347,6.40
6/14/2022,01:31:18 am,0,10.346,6.40
6/14/2022,02:01:18 am,0,10.343,6.40
6/14/2022,02:31:18 am,0,10.334,6.40
6/14/2022,03:01:18 am,0,10.328,6.40
6/14/2022,03:31:18 am,0,10.331,6.40
6/14/2022,04:01:18 am,0,10.328,6.40
6/14/2022,04:31:18 am,0,10.328,6.40
6/14/2022,05:01:18 am,0,10.323,6.40
6/14/2022,05:31:18 am,0,10.323,6.40
6/14/2022,06:01:18 am,0,10.328,6.40
6/14/2022,06:31:18 am,0,10.320,6.40
6/14/2022,07:01:18 am,0,10.317,6.40
6/14/2022,07:31:18 am,0,10.317,6.50
6/14/2022,08:01:18 am,0,10.313,6.50
6/14/2022,08:31:18 am,0,10.305,6.50
6/14/2022,09:01:18 am,0,10.296,6.50
6/14/2022,09:31:18 am,0,10.296,6.50
6/14/2022,10:01:18 am,0,10.307,6.50
6/14/2022,10:31:18 am,0,10.304,6.50
6/14/2022,11:01:18 am,0,10.305,6.50
6/14/2022,11:31:18 am,0,10.302,6.50
6/14/2022,12:01:18 pm,0,10.298,6.50
6/14/2022,12:31:18 pm,0,10.293,6.50
6/14/2022,01:01:18 pm,0,10.292,6.50
6/14/2022,01:31:18 pm,0,10.290,6.50
6/14/2022,02:01:18 pm,0,10.290,6.50
6/14/2022,02:31:18 pm,0,10.287,6.50
6/14/2022,03:01:18 pm,0,10.283,6.50
6/14/2022,03:31:18 pm,0,10.275,6.50
6/14/2022,04:01:18 pm,0,10.274,6.50
6/14/2022,04:31:18 pm,0,10.272,6.50
6/14/2022,05:01:18 pm,0,10.272,6.50
6/14/2022,05:31:18 pm,0,10.274,6.50
6/14/2022,06:01:18 pm,0,10.280,6.50
6/14/2022,06:31:18 pm,0,10.296,6.50
6/14/2022,07:01:18 pm,0,10.313,6.50
6/14/2022,07:31:18 pm,0,10.323,6.50
6/14/2022,08:01:18 pm,0,10.325,6.50
6/14/2022,08:31:18 pm,0,10.337,6.50
6/14/2022,09:01:18 pm,0,10.341,6.50
6/14/2022,09:31:18 pm,0,10.350,6.50
6/14/2022,10:01:18 pm,0,10.353,6.50
6/14/2022,10:31:18 pm,0,10.355,6.50
6/14/2022,11:01:18 pm,0,10.356,6.50
6/14/2022,11:31:18 pm,0,10.358,6.50
