Serial_number:
2091494
Project ID:
S2
Location:
44
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
4/30/2021,08:28:35 am,0,9.941,29.90
4/30/2021,08:58:35 am,0,9.941,19.50
4/30/2021,09:28:35 am,0,9.930,16.90
4/30/2021,09:58:35 am,0,9.897,16.20
4/30/2021,10:28:35 am,0,9.914,15.90
4/30/2021,10:58:35 am,0,9.908,16.00
4/30/2021,11:28:35 am,0,9.905,17.90
4/30/2021,11:58:35 am,0,9.900,19.70
4/30/2021,12:28:35 pm,0,9.884,20.00
4/30/2021,12:58:35 pm,0,9.878,19.90
4/30/2021,01:28:35 pm,0,10.275,1.40
4/30/2021,01:58:35 pm,0,10.272,1.10
4/30/2021,02:28:35 pm,0,10.268,1.00
4/30/2021,02:58:35 pm,0,10.265,0.90
4/30/2021,03:28:35 pm,0,10.259,0.90
4/30/2021,03:58:35 pm,0,10.254,0.90
4/30/2021,04:28:35 pm,0,10.250,0.90
4/30/2021,04:58:35 pm,0,10.244,0.90
4/30/2021,05:28:35 pm,0,10.238,0.90
4/30/2021,05:58:35 pm,0,10.233,0.90
4/30/2021,06:28:35 pm,0,10.227,0.90
4/30/2021,06:58:35 pm,0,10.223,0.90
4/30/2021,07:28:35 pm,0,10.218,0.90
4/30/2021,07:58:35 pm,0,10.214,0.90
4/30/2021,08:28:35 pm,0,10.211,0.90
4/30/2021,08:58:35 pm,0,10.205,0.90
4/30/2021,09:28:35 pm,0,10.197,0.90
4/30/2021,09:58:35 pm,0,10.191,0.90
4/30/2021,10:28:35 pm,0,10.182,0.90
4/30/2021,10:58:35 pm,0,10.175,0.90
4/30/2021,11:28:35 pm,0,10.169,0.90
4/30/2021,11:58:35 pm,0,10.160,0.90
5/1/2021,12:28:35 am,0,10.154,0.90
5/1/2021,12:58:35 am,0,10.146,0.90
5/1/2021,01:28:35 am,0,10.142,0.90
5/1/2021,01:58:35 am,0,10.134,0.90
