Serial_number:,,,,
2091499,,,,
Project ID:,,,,
S2,,,,
Location:,,,,
42,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
6/6/19,11:39:21 AM,0,9.792,27.2
6/6/19,12:09:21 PM,0,10.586,1.9
6/6/19,12:39:21 PM,0,10.587,1.6
6/6/19,1:09:21 PM,0,10.589,1.5
6/6/19,1:39:21 PM,0,10.586,1.5
6/6/19,2:09:21 PM,0,10.583,1.4
6/6/19,2:39:21 PM,0,10.581,1.4
6/6/19,3:09:21 PM,0,10.581,1.4
6/6/19,3:39:21 PM,0,10.581,1.4
6/6/19,4:09:21 PM,0,10.58,1.4
6/6/19,4:39:21 PM,0,10.58,1.4
6/6/19,5:09:21 PM,0,10.578,1.4
6/6/19,5:39:21 PM,0,10.578,1.4
6/6/19,6:09:21 PM,0,10.578,1.4
6/6/19,6:39:21 PM,0,10.578,1.4
6/6/19,7:09:21 PM,0,10.58,1.4
6/6/19,7:39:21 PM,0,10.581,1.4
6/6/19,8:09:21 PM,0,10.583,1.4
6/6/19,8:39:21 PM,0,10.584,1.4
6/6/19,9:09:21 PM,0,10.586,1.4
6/6/19,9:39:21 PM,0,10.587,1.4
6/6/19,10:09:21 PM,0,10.59,1.4
6/6/19,10:39:21 PM,0,10.592,1.4
6/6/19,11:09:21 PM,0,10.592,1.4
6/6/19,11:39:21 PM,0,10.59,1.4
6/7/19,12:09:21 AM,0,10.59,1.4
6/7/19,12:39:21 AM,0,10.59,1.4
6/7/19,1:09:21 AM,0,10.592,1.4
6/7/19,1:39:21 AM,0,10.592,1.4
6/7/19,2:09:21 AM,0,10.592,1.4
6/7/19,2:39:21 AM,0,10.592,1.4
6/7/19,3:09:21 AM,0,10.595,1.4
6/7/19,3:39:21 AM,0,10.593,1.4
6/7/19,4:09:21 AM,0,10.595,1.4
6/7/19,4:39:21 AM,0,10.595,1.4
6/7/19,5:09:21 AM,0,10.596,1.4
6/7/19,5:39:21 AM,0,10.596,1.4
6/7/19,6:09:21 AM,0,10.599,1.4
6/7/19,6:39:21 AM,0,10.599,1.4
6/7/19,7:09:21 AM,0,10.599,1.4
6/7/19,7:39:21 AM,0,10.599,1.4
6/7/19,8:09:21 AM,0,10.599,1.4
6/7/19,8:39:21 AM,0,10.598,1.4
6/7/19,9:09:21 AM,0,10.596,1.4
6/7/19,9:39:21 AM,0,10.595,1.4
6/7/19,10:09:21 AM,0,10.592,1.4
6/7/19,10:39:21 AM,0,10.593,1.4
6/7/19,11:09:21 AM,0,10.592,1.4
6/7/19,11:39:21 AM,0,10.59,1.4
6/7/19,12:09:21 PM,0,10.589,1.4
6/7/19,12:39:21 PM,0,10.586,1.4
6/7/19,1:09:21 PM,0,10.583,1.4
6/7/19,1:39:21 PM,0,10.581,1.4
6/7/19,2:09:21 PM,0,10.58,1.4
6/7/19,2:39:21 PM,0,10.575,1.4
6/7/19,3:09:21 PM,0,10.574,1.4
6/7/19,3:39:21 PM,0,10.572,1.4
6/7/19,4:09:21 PM,0,10.571,1.4
6/7/19,4:39:21 PM,0,10.569,1.4
6/7/19,5:09:21 PM,0,10.569,1.4
6/7/19,5:39:21 PM,0,10.568,1.4
6/7/19,6:09:21 PM,0,10.569,1.4
6/7/19,6:39:21 PM,0,10.569,1.4
6/7/19,7:09:21 PM,0,10.569,1.4
6/7/19,7:39:21 PM,0,10.569,1.4
6/7/19,8:09:21 PM,0,10.569,1.4
6/7/19,8:39:21 PM,0,10.572,1.4
6/7/19,9:09:21 PM,0,10.574,1.4
6/7/19,9:39:21 PM,0,10.575,1.4
6/7/19,10:09:21 PM,0,10.577,1.4
6/7/19,10:39:21 PM,0,10.58,1.4
6/7/19,11:09:21 PM,0,10.583,1.4
6/7/19,11:39:21 PM,0,10.586,1.4
6/8/19,12:09:21 AM,0,10.587,1.4
6/8/19,12:39:21 AM,0,10.586,1.4
6/8/19,1:09:21 AM,0,10.586,1.4
6/8/19,1:39:21 AM,0,10.586,1.4
6/8/19,2:09:21 AM,0,10.589,1.4
6/8/19,2:39:21 AM,0,10.592,1.4
6/8/19,3:09:21 AM,0,10.595,1.4
6/8/19,3:39:21 AM,0,10.595,1.4
6/8/19,4:09:21 AM,0,10.595,1.4
6/8/19,4:39:21 AM,0,10.595,1.4
6/8/19,5:09:21 AM,0,10.595,1.4
6/8/19,5:39:21 AM,0,10.598,1.4
6/8/19,6:09:21 AM,0,10.598,1.4
6/8/19,6:39:21 AM,0,10.599,1.4
6/8/19,7:09:21 AM,0,10.598,1.4
6/8/19,7:39:21 AM,0,10.598,1.4
6/8/19,8:09:21 AM,0,10.602,1.4
6/8/19,8:39:21 AM,0,10.601,1.4
6/8/19,9:09:21 AM,0,10.599,1.4
6/8/19,9:39:21 AM,0,10.598,1.4
6/8/19,10:09:21 AM,0,10.598,1.4
6/8/19,10:39:21 AM,0,10.598,1.4
