Serial_number:
2091499
Project ID:
S2
Location:
42
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/8/2023,12:45:17 pm,0,9.831,20.10
6/8/2023,01:15:17 pm,0,9.828,19.70
6/8/2023,01:45:17 pm,0,9.816,23.10
6/8/2023,02:15:17 pm,0,9.821,24.70
6/8/2023,02:45:17 pm,0,10.485,2.30
6/8/2023,03:15:17 pm,0,10.484,2.10
6/8/2023,03:45:17 pm,0,10.481,2.00
6/8/2023,04:15:17 pm,0,10.481,2.00
6/8/2023,04:45:17 pm,0,10.478,2.00
6/8/2023,05:15:17 pm,0,10.476,1.90
6/8/2023,05:45:17 pm,0,10.475,1.90
6/8/2023,06:15:17 pm,0,10.476,1.90
6/8/2023,06:45:17 pm,0,10.478,1.90
6/8/2023,07:15:17 pm,0,10.476,1.90
6/8/2023,07:45:17 pm,0,10.476,1.90
6/8/2023,08:15:17 pm,0,10.478,1.90
6/8/2023,08:45:17 pm,0,10.484,1.90
6/8/2023,09:15:17 pm,0,10.484,1.90
6/8/2023,09:45:17 pm,0,10.484,1.90
6/8/2023,10:15:17 pm,0,10.484,1.90
6/8/2023,10:45:17 pm,0,10.484,1.90
6/8/2023,11:15:17 pm,0,10.485,1.90
6/8/2023,11:45:17 pm,0,10.487,1.90
6/9/2023,12:15:17 am,0,10.485,1.90
6/9/2023,12:45:17 am,0,10.482,1.90
6/9/2023,01:15:17 am,0,10.482,1.90
6/9/2023,01:45:17 am,0,10.482,1.90
6/9/2023,02:15:17 am,0,10.485,1.90
6/9/2023,02:45:17 am,0,10.484,1.90
6/9/2023,03:15:17 am,0,10.484,1.90
6/9/2023,03:45:17 am,0,10.484,1.90
6/9/2023,04:15:17 am,0,10.484,1.90
6/9/2023,04:45:17 am,0,10.482,1.90
6/9/2023,05:15:17 am,0,10.484,1.90
6/9/2023,05:45:17 am,0,10.482,1.90
6/9/2023,06:15:17 am,0,10.479,1.90
6/9/2023,06:45:17 am,0,10.479,1.90
6/9/2023,07:15:17 am,0,10.478,1.90
6/9/2023,07:45:17 am,0,10.476,1.90
6/9/2023,08:15:17 am,0,10.473,1.90
6/9/2023,08:45:17 am,0,10.472,1.90
6/9/2023,09:15:17 am,0,10.470,1.90
6/9/2023,09:45:17 am,0,10.466,1.90
6/9/2023,10:15:17 am,0,10.463,1.90
6/9/2023,10:45:17 am,0,10.460,1.90
6/9/2023,11:15:17 am,0,10.457,1.90
6/9/2023,11:45:17 am,0,10.455,1.90
6/9/2023,12:15:17 pm,0,10.454,1.90
6/9/2023,12:45:17 pm,0,10.451,1.90
6/9/2023,01:15:17 pm,0,10.446,1.90
6/9/2023,01:45:17 pm,0,10.443,1.90
6/9/2023,02:15:17 pm,0,10.440,2.00
6/9/2023,02:45:17 pm,0,10.439,2.00
6/9/2023,03:15:17 pm,0,10.434,2.00
6/9/2023,03:45:17 pm,0,10.434,2.00
6/9/2023,04:15:17 pm,0,10.431,2.00
6/9/2023,04:45:17 pm,0,10.424,2.00
6/9/2023,05:15:17 pm,0,10.422,2.00
6/9/2023,05:45:17 pm,0,10.434,2.00
6/9/2023,06:15:17 pm,0,10.439,2.00
6/9/2023,06:45:17 pm,0,10.445,2.00
6/9/2023,07:15:17 pm,0,10.440,2.00
6/9/2023,07:45:17 pm,0,10.439,2.00
6/9/2023,08:15:17 pm,0,10.440,2.00
6/9/2023,08:45:17 pm,0,10.443,2.00
6/9/2023,09:15:17 pm,0,10.445,2.00
6/9/2023,09:45:17 pm,0,10.445,2.00
6/9/2023,10:15:17 pm,0,10.443,2.00
6/9/2023,10:45:17 pm,0,10.443,2.00
6/9/2023,11:15:17 pm,0,10.445,2.00
6/9/2023,11:45:17 pm,0,10.445,2.00
6/10/2023,12:15:17 am,0,10.445,2.00
6/10/2023,12:45:17 am,0,10.445,2.00
6/10/2023,01:15:17 am,0,10.443,2.00
6/10/2023,01:45:17 am,0,10.442,2.00
6/10/2023,02:15:17 am,0,10.442,2.00
6/10/2023,02:45:17 am,0,10.440,2.00
6/10/2023,03:15:17 am,0,10.440,2.00
6/10/2023,03:45:17 am,0,10.443,2.00
6/10/2023,04:15:17 am,0,10.448,2.00
6/10/2023,04:45:17 am,0,10.449,2.00
6/10/2023,05:15:17 am,0,10.454,2.00
6/10/2023,05:45:17 am,0,10.455,2.00
6/10/2023,06:15:17 am,0,10.458,2.00
6/10/2023,06:45:17 am,0,10.461,2.00
6/10/2023,07:15:17 am,0,10.461,2.00
6/10/2023,07:45:17 am,0,10.466,2.00
6/10/2023,08:15:17 am,0,10.469,2.00
6/10/2023,08:45:17 am,0,10.470,2.00
6/10/2023,09:15:17 am,0,10.475,2.10
6/10/2023,09:45:17 am,0,10.475,2.10
6/10/2023,10:15:17 am,0,10.481,2.10
6/10/2023,10:45:17 am,0,10.482,2.10
6/10/2023,11:15:17 am,0,10.482,2.10
6/10/2023,11:45:17 am,0,10.484,2.10
6/10/2023,12:15:17 pm,0,10.485,2.10
6/10/2023,12:45:17 pm,0,10.487,2.10
6/10/2023,01:15:17 pm,0,10.487,2.10
6/10/2023,01:45:17 pm,0,10.490,2.10
6/10/2023,02:15:17 pm,0,10.491,2.10
6/10/2023,02:45:17 pm,0,10.493,2.10
6/10/2023,03:15:17 pm,0,10.493,2.10
6/10/2023,03:45:17 pm,0,10.493,2.10
6/10/2023,04:15:17 pm,0,10.493,2.10
6/10/2023,04:45:17 pm,0,10.494,2.10
6/10/2023,05:15:17 pm,0,10.493,2.10
6/10/2023,05:45:17 pm,0,10.494,2.10
6/10/2023,06:15:17 pm,0,10.494,2.10
