Serial_number:
2110783
Project ID:

Location:
S6S1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/6/2020,01:50:12 pm,0,9.875,28.30
5/6/2020,02:20:12 pm,0,10.578,2.60
5/6/2020,02:50:12 pm,0,10.578,2.30
5/6/2020,03:20:12 pm,0,10.580,2.20
5/6/2020,03:50:12 pm,0,10.578,2.10
5/6/2020,04:20:12 pm,0,10.578,2.10
5/6/2020,04:50:12 pm,0,10.577,2.10
5/6/2020,05:20:12 pm,0,10.578,2.10
5/6/2020,05:50:12 pm,0,10.575,2.10
5/6/2020,06:20:12 pm,0,10.578,2.10
5/6/2020,06:50:12 pm,0,10.577,2.10
5/6/2020,07:20:12 pm,0,10.578,2.10
5/6/2020,07:50:12 pm,0,10.580,2.10
5/6/2020,08:20:12 pm,0,10.581,2.10
5/6/2020,08:50:12 pm,0,10.581,2.10
5/6/2020,09:20:12 pm,0,10.584,2.10
5/6/2020,09:50:12 pm,0,10.584,2.10
5/6/2020,10:20:12 pm,0,10.586,2.10
5/6/2020,10:50:12 pm,0,10.586,2.10
5/6/2020,11:20:12 pm,0,10.586,2.10
5/6/2020,11:50:12 pm,0,10.586,2.10
5/7/2020,12:20:12 am,0,10.586,2.10
5/7/2020,12:50:12 am,0,10.586,2.10
5/7/2020,01:20:12 am,0,10.586,2.10
5/7/2020,01:50:12 am,0,10.587,2.10
5/7/2020,02:20:12 am,0,10.587,2.10
5/7/2020,02:50:12 am,0,10.587,2.10
5/7/2020,03:20:12 am,0,10.590,2.10
5/7/2020,03:50:12 am,0,10.593,2.10
5/7/2020,04:20:12 am,0,10.595,2.10
5/7/2020,04:50:12 am,0,10.596,2.10
5/7/2020,05:20:12 am,0,10.595,2.10
5/7/2020,05:50:12 am,0,10.598,2.10
5/7/2020,06:20:12 am,0,10.599,2.10
5/7/2020,06:50:12 am,0,10.602,2.10
5/7/2020,07:20:12 am,0,10.602,2.10
5/7/2020,07:50:12 am,0,10.602,2.10
5/7/2020,08:20:12 am,0,10.602,2.10
5/7/2020,08:50:12 am,0,10.601,2.10
5/7/2020,09:20:12 am,0,10.598,2.10
5/7/2020,09:50:12 am,0,10.598,2.10
5/7/2020,10:20:12 am,0,10.599,2.10
5/7/2020,10:50:12 am,0,10.601,2.10
5/7/2020,11:20:12 am,0,10.598,2.10
5/7/2020,11:50:12 am,0,10.596,2.10
5/7/2020,12:20:12 pm,0,10.593,2.10
5/7/2020,12:50:12 pm,0,10.590,2.10
