Serial_number:
2110792
Project ID:

Location:
S6N1
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/25/2019,09:00:00 am,0,9.722,15.30
9/25/2019,09:30:00 am,0,9.723,13.60
9/25/2019,10:00:00 am,0,9.723,12.70
9/25/2019,10:30:00 am,0,9.725,12.30
9/25/2019,11:00:00 am,0,9.725,12.50
9/25/2019,11:30:00 am,0,9.728,13.00
9/25/2019,12:00:00 pm,0,9.728,13.50
9/25/2019,12:30:00 pm,0,9.728,14.10
9/25/2019,01:00:00 pm,0,9.729,14.70
9/25/2019,01:30:00 pm,0,9.734,15.30
9/25/2019,02:00:00 pm,0,9.734,16.20
9/25/2019,02:30:00 pm,0,9.725,17.60
9/25/2019,03:00:00 pm,0,9.729,19.20
9/25/2019,03:30:00 pm,0,9.734,18.90
9/25/2019,04:00:00 pm,0,10.475,12.10
9/25/2019,04:30:00 pm,0,10.473,11.70
9/25/2019,05:00:00 pm,0,10.472,11.60
9/25/2019,05:30:00 pm,0,10.475,11.50
9/25/2019,06:00:00 pm,0,10.479,11.50
9/25/2019,06:30:00 pm,0,10.478,11.40
9/25/2019,07:00:00 pm,0,10.479,11.40
9/25/2019,07:30:00 pm,0,10.484,11.40
9/25/2019,08:00:00 pm,0,10.487,11.40
9/25/2019,08:30:00 pm,0,10.490,11.40
9/25/2019,09:00:00 pm,0,10.493,11.40
9/25/2019,09:30:00 pm,0,10.496,11.40
9/25/2019,10:00:00 pm,0,10.496,11.40
9/25/2019,10:30:00 pm,0,10.496,11.30
9/25/2019,11:00:00 pm,0,10.497,11.30
9/25/2019,11:30:00 pm,0,10.500,11.30
9/26/2019,12:00:00 am,0,10.500,11.30
9/26/2019,12:30:00 am,0,10.500,11.30
9/26/2019,01:00:00 am,0,10.499,11.30
9/26/2019,01:30:00 am,0,10.502,11.30
9/26/2019,02:00:00 am,0,10.502,11.30
9/26/2019,02:30:00 am,0,10.502,11.30
9/26/2019,03:00:00 am,0,10.502,11.30
9/26/2019,03:30:00 am,0,10.502,11.30
9/26/2019,04:00:00 am,0,10.503,11.30
9/26/2019,04:30:00 am,0,10.505,11.30
9/26/2019,05:00:00 am,0,10.506,11.30
9/26/2019,05:30:00 am,0,10.506,11.30
9/26/2019,06:00:00 am,0,10.505,11.30
9/26/2019,06:30:00 am,0,10.505,11.30
9/26/2019,07:00:00 am,0,10.500,11.30
9/26/2019,07:30:00 am,0,10.505,11.30
9/26/2019,08:00:00 am,0,10.505,11.30
9/26/2019,08:30:00 am,0,10.503,11.30
9/26/2019,09:00:00 am,0,10.502,11.30
9/26/2019,09:30:00 am,0,10.502,11.30
9/26/2019,10:00:00 am,0,10.500,11.30
9/26/2019,10:30:00 am,0,10.500,11.30
9/26/2019,11:00:00 am,0,10.500,11.30
9/26/2019,11:30:00 am,0,10.496,11.30
9/26/2019,12:00:00 pm,0,10.493,11.30
9/26/2019,12:30:00 pm,0,10.490,11.30
9/26/2019,01:00:00 pm,0,10.484,11.30
9/26/2019,01:30:00 pm,0,10.481,11.30
9/26/2019,02:00:00 pm,0,10.478,11.30
9/26/2019,02:30:00 pm,0,10.476,11.30
9/26/2019,03:00:00 pm,0,10.473,11.30
9/26/2019,03:30:00 pm,0,10.467,11.30
9/26/2019,04:00:00 pm,0,10.463,11.30
9/26/2019,04:30:00 pm,0,10.461,11.30
9/26/2019,05:00:00 pm,0,10.461,11.30
9/26/2019,05:30:00 pm,0,10.458,11.30
9/26/2019,06:00:00 pm,0,10.455,11.30
9/26/2019,06:30:00 pm,0,10.455,11.30
9/26/2019,07:00:00 pm,0,10.455,11.30
9/26/2019,07:30:00 pm,0,10.457,11.30
9/26/2019,08:00:00 pm,0,10.457,11.30
9/26/2019,08:30:00 pm,0,10.457,11.30
9/26/2019,09:00:00 pm,0,10.449,11.30
9/26/2019,09:30:00 pm,0,10.449,11.30
9/26/2019,10:00:00 pm,0,10.445,11.30
9/26/2019,10:30:00 pm,0,10.433,11.30
9/26/2019,11:00:00 pm,0,10.424,11.30
9/26/2019,11:30:00 pm,0,10.415,11.30
9/27/2019,12:00:00 am,0,10.410,11.30
9/27/2019,12:30:00 am,0,10.400,11.30
9/27/2019,01:00:00 am,0,10.394,11.30
9/27/2019,01:30:00 am,0,10.391,11.30
9/27/2019,02:00:00 am,0,10.392,11.30
9/27/2019,02:30:00 am,0,10.391,11.30
9/27/2019,03:00:00 am,0,10.385,11.30
9/27/2019,03:30:00 am,0,10.383,11.30
9/27/2019,04:00:00 am,0,10.382,11.30
9/27/2019,04:30:00 am,0,10.385,11.30
9/27/2019,05:00:00 am,0,10.388,11.30
9/27/2019,05:30:00 am,0,10.391,11.30
9/27/2019,06:00:00 am,0,10.400,11.30
9/27/2019,06:30:00 am,0,10.401,11.30
9/27/2019,07:00:00 am,0,10.404,11.30
9/27/2019,07:30:00 am,0,10.412,11.30
9/27/2019,08:00:00 am,0,10.418,11.30
9/27/2019,08:30:00 am,0,10.422,11.30
9/27/2019,09:00:00 am,0,10.427,11.30
9/27/2019,09:30:00 am,0,10.436,11.30
9/27/2019,10:00:00 am,0,10.440,11.30
9/27/2019,10:30:00 am,0,10.445,11.30
9/27/2019,11:00:00 am,0,10.448,11.30
9/27/2019,11:30:00 am,0,10.454,11.30
9/27/2019,12:00:00 pm,0,10.460,11.30
9/27/2019,12:30:00 pm,0,10.464,11.30
9/27/2019,01:00:00 pm,0,10.470,11.30
9/27/2019,01:30:00 pm,0,10.473,11.30
9/27/2019,02:00:00 pm,0,10.476,11.30
9/27/2019,02:30:00 pm,0,10.479,11.30
9/27/2019,03:00:00 pm,0,10.484,11.30
9/27/2019,03:30:00 pm,0,10.491,11.30
9/27/2019,04:00:00 pm,0,10.493,11.30
9/27/2019,04:30:00 pm,0,10.499,11.30
9/27/2019,05:00:00 pm,0,10.503,11.30
9/27/2019,05:30:00 pm,0,10.505,11.30
9/27/2019,06:00:00 pm,0,10.511,11.30
9/27/2019,06:30:00 pm,0,10.515,11.30
9/27/2019,07:00:00 pm,0,10.520,11.30
9/27/2019,07:30:00 pm,0,10.526,11.30
9/27/2019,08:00:00 pm,0,10.532,11.30
9/27/2019,08:30:00 pm,0,10.539,11.30
9/27/2019,09:00:00 pm,0,10.544,11.30
9/27/2019,09:30:00 pm,0,10.545,11.30
9/27/2019,10:00:00 pm,0,10.547,11.30
9/27/2019,10:30:00 pm,0,10.548,11.30
9/27/2019,11:00:00 pm,0,10.550,11.30
9/27/2019,11:30:00 pm,0,10.553,11.30
9/28/2019,12:00:00 am,0,10.559,11.30
9/28/2019,12:30:00 am,0,10.560,11.30
9/28/2019,01:00:00 am,0,10.565,11.30
9/28/2019,01:30:00 am,0,10.571,11.30
9/28/2019,02:00:00 am,0,10.575,11.30
9/28/2019,02:30:00 am,0,10.578,11.30
9/28/2019,03:00:00 am,0,10.583,11.30
9/28/2019,03:30:00 am,0,10.590,11.30
9/28/2019,04:00:00 am,0,10.593,11.30
9/28/2019,04:30:00 am,0,10.598,11.30
9/28/2019,05:00:00 am,0,10.601,11.30
9/28/2019,05:30:00 am,0,10.607,11.30
9/28/2019,06:00:00 am,0,10.610,11.30
9/28/2019,06:30:00 am,0,10.614,11.30
9/28/2019,07:00:00 am,0,10.619,11.30
9/28/2019,07:30:00 am,0,10.620,11.30
9/28/2019,08:00:00 am,0,10.623,11.30
9/28/2019,08:30:00 am,0,10.629,11.30
9/28/2019,09:00:00 am,0,10.632,11.30
9/28/2019,09:30:00 am,0,10.640,11.30
9/28/2019,10:00:00 am,0,10.646,11.30
9/28/2019,10:30:00 am,0,10.652,11.30
9/28/2019,11:00:00 am,0,10.649,11.30
9/28/2019,11:30:00 am,0,10.650,11.30
9/28/2019,12:00:00 pm,0,10.649,11.30
9/28/2019,12:30:00 pm,0,10.649,11.30
9/28/2019,01:00:00 pm,0,10.649,11.30
9/28/2019,01:30:00 pm,0,10.647,11.30
9/28/2019,02:00:00 pm,0,10.649,11.30
9/28/2019,02:30:00 pm,0,10.649,11.30
9/28/2019,03:00:00 pm,0,10.649,11.30
9/28/2019,03:30:00 pm,0,10.647,11.30
9/28/2019,04:00:00 pm,0,10.650,11.30
9/28/2019,04:30:00 pm,0,10.650,11.30
9/28/2019,05:00:00 pm,0,10.649,11.30
9/28/2019,05:30:00 pm,0,10.649,11.30
9/28/2019,06:00:00 pm,0,10.646,11.30
9/28/2019,06:30:00 pm,0,10.647,11.30
9/28/2019,07:00:00 pm,0,10.650,11.30
9/28/2019,07:30:00 pm,0,10.653,11.30
9/28/2019,08:00:00 pm,0,10.658,11.30
9/28/2019,08:30:00 pm,0,10.658,11.30
9/28/2019,09:00:00 pm,0,10.656,11.30
9/28/2019,09:30:00 pm,0,10.658,11.30
9/28/2019,10:00:00 pm,0,10.656,11.30
9/28/2019,10:30:00 pm,0,10.659,11.30
9/28/2019,11:00:00 pm,0,10.656,11.30
9/28/2019,11:30:00 pm,0,10.662,11.30
9/29/2019,12:00:00 am,0,10.662,11.30
9/29/2019,12:30:00 am,0,10.662,11.30
9/29/2019,01:00:00 am,0,10.664,11.30
9/29/2019,01:30:00 am,0,10.667,11.30
9/29/2019,02:00:00 am,0,10.670,11.30
9/29/2019,02:30:00 am,0,10.673,11.30
9/29/2019,03:00:00 am,0,10.668,11.30
9/29/2019,03:30:00 am,0,10.664,11.30
9/29/2019,04:00:00 am,0,10.661,11.30
9/29/2019,04:30:00 am,0,10.659,11.20
9/29/2019,05:00:00 am,0,10.662,11.20
9/29/2019,05:30:00 am,0,10.658,11.20
9/29/2019,06:00:00 am,0,10.652,11.20
9/29/2019,06:30:00 am,0,10.653,11.20
9/29/2019,07:00:00 am,0,10.656,11.20
9/29/2019,07:30:00 am,0,10.655,11.20
9/29/2019,08:00:00 am,0,10.652,11.20
9/29/2019,08:30:00 am,0,10.643,11.20
9/29/2019,09:00:00 am,0,10.646,11.20
9/29/2019,09:30:00 am,0,10.643,11.20
9/29/2019,10:00:00 am,0,10.640,11.20
9/29/2019,10:30:00 am,0,10.638,11.20
9/29/2019,11:00:00 am,0,10.632,11.20
9/29/2019,11:30:00 am,0,10.628,11.20
9/29/2019,12:00:00 pm,0,10.623,11.20
9/29/2019,12:30:00 pm,0,10.625,11.20
9/29/2019,01:00:00 pm,0,10.622,11.20
9/29/2019,01:30:00 pm,0,10.620,11.20
9/29/2019,02:00:00 pm,0,10.613,11.20
9/29/2019,02:30:00 pm,0,10.611,11.20
9/29/2019,03:00:00 pm,0,10.601,11.20
9/29/2019,03:30:00 pm,0,10.599,11.20
9/29/2019,04:00:00 pm,0,10.598,11.20
9/29/2019,04:30:00 pm,0,10.590,11.20
9/29/2019,05:00:00 pm,0,10.586,11.20
9/29/2019,05:30:00 pm,0,10.577,11.20
9/29/2019,06:00:00 pm,0,10.578,11.20
9/29/2019,06:30:00 pm,0,10.580,11.20
9/29/2019,07:00:00 pm,0,10.581,11.20
9/29/2019,07:30:00 pm,0,10.578,11.20
